Northing (Latitude),Easting (Longitude),Borehole No,Sample No,Depth,N Value,USCS Classiication,Cohesion (KPa),Unit Weight,Report No
33.712910399999998,73.208285500000002,2,S-4,20,50,SANDY SILTY CLAY,40,18,93
33.711501300000002,73.202316800000006,1,S-1,5,3,SILTY  CLAY,15,16,94
33.711501300000002,73.202316800000006,1,S-2,10,6,SILTY  CLAY,18,16,94
33.711501300000002,73.202316800000006,2,S-1,5,2,SILTY  CLAY,15,16,94
33.711501300000002,73.202316800000006,2,S-2,10,6,SILTY  CLAY,18,16,94
33.708353099999997,73.203218000000007,1,S-1,5,10,SILTY CLAY,20,16,95
33.708353099999997,73.203218000000007,1,S-2,10,16,SILTY CLAY,25,18,95
33.708353099999997,73.203218000000007,1,S-3,15,19,SILTY CLAY,35,18,95
33.708353099999997,73.203218000000007,1,S-4,20,23,SILTY CLAY,43,18,95
33.708353099999997,73.203218000000007,2,S-1,5,18,SILTY CLAY,20,16,95
33.708353099999997,73.203218000000007,2,S-2,10,18,SILTY CLAY,25,18,95
33.708353099999997,73.203218000000007,2,S-3,15,21,SILTY CLAY,35,18,95
33.708353099999997,73.203218000000007,2,S-4,20,26,SILTY CLAY,43,18,95
33.6995887,73.187247400000004,1,S-1,5,50,SANDY SILTY CLAY,48,16,96
33.6995887,73.187247400000004,2,S-1,5,50,SANDY SILTY CLAY,48,16,96
33.6995887,73.187247400000004,3,S-1,5,50,SANDY SILTY CLAY,48,16,96
33.727497499999998,73.235185400000006,1,S-1,5,8,SILTY CLAY,17,16,97
33.727497499999998,73.235185400000006,1,S-2,10,50,SILTY CLAY,25,16,97
33.727497499999998,73.235185400000006,2,S-1,5,10,SILTY CLAY,17,16,97
33.727497499999998,73.235185400000006,2,S-2,10,23,SILTY CLAY,25,16,97
33.727497499999998,73.235185400000006,2,S-3,15,50,SILTY CLAY,30,16,97
33.698067399999999,73.206765399999995,1,S-1,5,7,SILTY CLAY,15,16,98
33.698067399999999,73.206765399999995,1,S-2,10,10,SILTY CLAY,25,16,98
33.698067399999999,73.206765399999995,1,S-3,15,19,SILTY CLAY,33,16,98
33.698067399999999,73.206765399999995,1,S-4,20,50,SANDY SILTY CLAY,42,18,98
33.697474,73.198522299999993,1,S-1,5,8,SILTY CLAY,15,16,99
33.697474,73.198522299999993,1,S-2,10,9,SILTY CLAY,17,16,99
33.697474,73.198522299999993,1,S-3,15,14,SILTY CLAY,27,16,99
33.697474,73.198522299999993,1,S-4,20,26,SILTY CLAY,40,18,99
33.697474,73.198522299999993,2,S-1,5,6,SILTY CLAY,15,16,99
33.697474,73.198522299999993,2,S-2,10,9,SILTY CLAY,17,16,99
33.697474,73.198522299999993,2,S-3,15,14,SILTY CLAY,27,16,99
33.697474,73.198522299999993,2,S-4,20,25,SILTY CLAY,40,18,99
33.697474,73.198522299999993,3,S-1,5,7,SILTY CLAY,15,16,99
33.697474,73.198522299999993,3,S-2,10,10,SILTY CLAY,17,16,99
33.670750499999997,73.166335099999998,1,S-1,5,9,SILTY CLAY,17,16,100
33.670750499999997,73.166335099999998,1,S-2,10,11,SILTY CLAY,20,16,100
33.670750499999997,73.166335099999998,1,S-3,15,14,SILTY CLAY,33,18,100
33.670750499999997,73.166335099999998,1,S-4,20,18,SILTY CLAY,49,18,100
33.670750499999997,73.166335099999998,2,S-1,5,10,SILTY CLAY,17,16,100
33.670750499999997,73.166335099999998,2,S-2,10,11,SILTY CLAY,20,16,100
33.670750499999997,73.166335099999998,2,S-3,15,16,SILTY CLAY,33,18,100
33.670750499999997,73.166335099999998,2,S-4,20,20,SILTY CLAY,49,18,100
33.670750499999997,73.166335099999998,3,S-1,5,8,SILTY CLAY,17,16,100
33.670750499999997,73.166335099999998,3,S-2,10,9,SILTY CLAY,20,16,100
33.670750499999997,73.166335099999998,3,S-3,15,15,SILTY CLAY,33,18,100
33.670750499999997,73.166335099999998,3,S-4,20,18,SILTY CLAY,49,18,100
33.703983700000002,73.161553299999994,1,S-1,5,6,SILTY  CLAY,15,16,101
33.703983700000002,73.161553299999994,1,S-2,10,50,SILTY  CLAY,22,16,101
33.703983700000002,73.161553299999994,2,S-3,5,7,SILTY  CLAY,15,16,101
33.703983700000002,73.161553299999994,2,S-1,10,8,SILTY  CLAY,22,16,101
33.703983700000002,73.161553299999994,2,S-2,15,11,SILTY  CLAY,28,16,101
33.692890200000001,73.158058999999994,1,S-1,5,9,SILTY CLAY,22,18,102
33.692890200000001,73.158058999999994,1,S-2,10,9,SILTY CLAY,27,18,102
33.692890200000001,73.158058999999994,1,S-3,15,10,SILTY CLAY,34,18,102
33.692890200000001,73.158058999999994,2,S-1,5,8,SILTY CLAY,22,18,102
33.692890200000001,73.158058999999994,2,S-2,10,10,SILTY CLAY,27,18,102
33.692890200000001,73.158058999999994,2,S-3,15,11,SILTY CLAY,34,18,102
33.714507599999997,73.176801499999996,1,S-1,5,10,SILTY CLAY,23,16,103
33.714507599999997,73.176801499999996,1,S-2,10,36,SILTY CLAY,45,18,103
33.714507599999997,73.176801499999996,1,S-3,15,42,SILTY CLAY,53,18,103
33.714507599999997,73.176801499999996,1,S-4,20,39,SILTY CLAY,60,18,103
33.714507599999997,73.176801499999996,2,S-1,5,23,SILTY CLAY,23,16,103
33.714507599999997,73.176801499999996,2,S-2,10,50,SILTY CLAY,45,18,103
